06083,环宇物流(亚洲)
00095,绿景中国地产
06118,奥星生命科技
06138,哈尔滨银行
00926,碧生源
00104,冠亚商业
00126,佳宁娜
04606,CCB 15USDPREF
00337,绿地香港
00836,华润电力
03639,亿达中国
03355,先进半导体
02314,理文造纸
00919,现代美容
00107,四川成渝高速公路
03839,正大企业国际
00186,敏捷控股
08050,量子思维
03997,电讯首科
00923,综合环保集团
01049,时富投资
06189,爱得威建设集团
00928,莲和医疗
00990,荣晖国际
03382,天津港发展
08025,亚洲资产
06038,信越控股
00196,宏华集团
00115,钧濠集团
06163,彭顺国际
03989,首创环境
06822,科劲国际
01086,好孩子国际
00121,卜蜂莲花
08028,天时软件
06169,宇华教育
00927,富士高实业
00982,华金国际资本
00995,安徽皖通高速公路
08040,DCB控股
06033,电讯数码控股
00932,顺腾国际控股
06889,Dynam
08076,新利软件
02303,恒兴黄金
01002,威铖国际
06865,福莱特玻璃
03669,永达汽车
06808,高鑫零售
06882,东瀛游
03999,大成食品
02328,中国财险
06818,中国光大银行
00799,IGG
00941,中国移动
01064,中华国际
00132,中国兴业控股
00988,丝路物流控股
01039,鑫网易商
00428,中国天弓控股
06826,昊海生物科技
02229,长港敦信
06036,光丽科技
08005,裕兴科技
00903,冠捷科技
08026,朗华国际集团
08047,中国海洋捕捞
01102,环能国际
00145,香港建屋贷款
06823,香港电讯-SS
02324,首都创投
02293,百本医护
06839,云南水务
00162,世纪金花
00161,中航国际控股
08035,骏高控股
06139,金茂酒店-SS
00130,慕诗国际
00691,山水水泥
07200,南方两倍看多恒指
01060,阿里影业
00511,电视广播
00679,亚洲联网科技
00994,恒诚建筑
00986,中国环保能源
06088,鸿腾精密
08027,吉辉控股
06829,龙升集团控股
06161,泰加保险
01001,沪港联合
06128,泛亚国际
00468,纷美包装
01112,H&H国际控股
01165,顺风清洁能源
06080,荣智控股
00984,永旺
08038,金力集团
06100,有才天下猎聘
06899,联众
00087,太古股份公司B
06098,碧桂园服务
06136,康达环保
00987,中国再生能源投资
01417,浦江中国
00167,万威国际
03939,万国国际矿业
02307,锦兴国际控股
06877,昆仑国际金融
08020,宏海控股集团
07231,未来两倍看多恒指
00142,第一太平
02308,研祥智能
08093,万星控股
06878,鼎丰集团控股
04610,CZB 17USDPREF
00127,华人置业
08019,皓文控股
01007,龙辉国际控股
01193,华润燃气
00360,新焦点
00131,卓能(集团)
06113,UTS MARKETING
01200,美联集团
06123,圆通速递国际
04605,BOCOM 15USDPREF
01113,长实集团
01097,有线宽频
00989,广泽国际发展
00185,正恒国际控股
06160,百济神州-B
00141,大中华集团
00628,国美金融科技
01061,亿胜生物科技
02326,新源万恒控股
02317,味丹国际
00120,四海国际
08011,百田石油
00156,力宝华润
06816,瑞港建设
01189,珀丽酒店
08009,华夏能源控股
08041,荟萃国际(控股)
08030,汇联金融服务
07210,XL二易亚中概股
00158,万邦投资
08022,永耀集团控股
01011,泰凌医药
01019,康宏环球
01045,亚太卫星
01089,乐游科技控股
08131,辰罡科技
01058,粤海制革
01021,麦达斯控股-S
00999,I.T
07322,XI未来标普
06183,中国绿宝
08029,太阳国际
06858,本间高尔夫
06836,天韵国际控股
06885,金马能源
01164,中广核矿业
00117,天利控股集团
08077,昆仑国际金融
01010,太睿国际控股
08103,万泰企业(二千)
06830,华众车载
01023,时代集团控股
00556,泛亚环保
07328,三星一倍看空国指
00992,联想集团
08088,汇友生命科学
00833,华讯
08056,饮食概念
02283,东江集团控股
08070,侨洋国际控股
01221,信和酒店
07388,南方一倍看空国指
07302,FI易方达恒指
00181,闽港控股
01118,高力集团
00164,中国宝力科技-新
01005,美力时集团
01033,中石化油服
01008,贵联控股
00129,泛海集团
08033,爱达利网络
01121,宝峰时尚
01558,东阳光药
00163,英皇国际
00159,布莱克万矿业
